SA078--HK1	- Sucre/Cordoba Group 
SA079--PY1	- Rio de Janeiro Centre 
SA080--PY6	- Bahia Centre 
SA081--HK8	- Narino Division 
SA082--HK2	- Guajara-Magdalena 
SA083--CE0	- Salas y Gomez 
SA084--HK4	- Choco South 
SA085--CE1	- Atamaca Province Group 
SA086--CE2	- Coquimbo / Aconcagua province group 
NA001--C6	- Grt. Bahama Bk 
NA002--VP5	- Caicos 
NA003--VP5	- Turks 
NA004--KL7	- Endeavor 
NA005--VP9	- Bermuda 
NA006--VE8	- Victoria 
NA007--VE8	- Southampton 
NA008--VE8	- Ellesmere 
NA009--VE8	- Parry 
NA010--VE1	- Cape Breton 
NA011--FO/X	- Clipperton 
NA012--TI9	- Cocos 
NA013--YN	- Maiz 
NA014--VE1	- NB Prov. South 
NA015--CO/KG4	- Cuba/Guantanamo 
NA016--ZF	- Cayman 
NA017--XE2	- Cedros 
NA018--OX	- Greenland 
NA019--KL7	- Kodiak 
NA020--YV0	- Aves 
NA021--8P	- Barbados 
NA022--VP2E	- Anguilla 
NA023--VP2V	- Br. Virgin 
NA024--J3	- Grenada 
NA025--J8	- Grenadines 
NA026--W2	- New York 
NA027--VO1	- Newfoundland 
NA028--KL7	- Pribilof 
NA029--VE1	- Prince Edward 
NA030--XE4	- Revilla Giged 
NA031--W1	- Rhode Island 
NA032--FP	- St. Pierre & Miq 
NA033--HK0	- San Andres 
NA034--W4	- Florida/Tampa Bay 
NA035--HR6	- Swan 
NA036--VE7	- Vancouver 
NA037--KL7	- Semichi 
NA038--VE2	- La Madeliene 
NA039--KL7	- Andreanof 
NA040--KL7	- St. Lawrence 
NA041--KL7	- Alexander 
NA042--KL7	- Prince William Sd 
NA043--VE8	- Sverdrup 
NA044--VO2	- Labrador South 
NA045--XE3	- Mujeres 
NA046--W1	- Massach. South 
NA047--VE8	- Baffin 
NA048--C6	- Bimini 
NA049--HK0	- Providencia 
NA050--KL7	- Barter 
NA051--VE7	- Queen Charlotte 
NA052--W4	- Florida/Marco 
NA053--KL7	- Trinity 
NA054--C6	- Berry 
NA055--W1	- Maine East 
NA056--CO	- Los Canarreos 
NA057--HR6	- Bahia 
NA058--W4	- Georgia 
NA059--KL7	- Fox 
NA060--HR4	- Tigre 
NA061--VE7	- BC Prov. North 
NA062--W4	- Florida Keys 
NA063--VE1	- Sable 
NA064--KL7	- Near 
NA065--W7	- San Juan 
NA066--W6	- South Channel 
NA067--W	- N.Carol. East 
NA068--VE1	- NB Prov. North 
NA069--W4	- Florida/Sanibel 
NA070--KL7	- Rat 
NA071--HP	- Coiba 
NA072--HP	- Las Perlas 
NA073--V3	- Ambergris 
NA074--KL7	- Nunivak 
NA075--VE7	- Gulf 
NA076--W4 	- Florida/Cedar Key 
NA077--VE2	- Anticosti 
NA078--XE2	- Santa Margarita 
NA079--W4	- Dry Tortugas 
NA080--C6	- Lit. Bahama Bk 
NA081--VE1	- NS Prov. East 
NA082--W5	- Mississippi 
NA083--W4	- Virginia 
NA084--VE2	- Harrington 
NA085--W4	- Florida/St. George 
NA086--CO	- Camaguey 
NA087--KL7	- Shumagin 
NA088--HP	- Bocas del Tor 
NA089--W4	- LA/Chandeleur 
NA090--XE3	- Cozumel 
NA091--VE7	- BC Prov. South 
NA092--W5	- Texas West 
NA093--CO	- Los Colorados 
NA094--VE1	- St. Paul 
NA095--KP5	- Desecheo 
NA096--HH/HI	- Hispaniola 
NA097--6Y	- Jamaica 
NA098--KP1	- Navassa 
NA099--KP4	- Puerto Rico 
NA100--V2	- Antigua 
NA101--J7	- Dominica 
NA102--FG	- Guadeloupe 
NA103--VP2M	- Montserrat 
NA104--V4	- St. Christopher 
NA105--FS/PJ	- St. Martin 
NA106--KP2	- US Virgin 
NA107--FM	- Martinique 
NA108--J6	- St. Lucia 
NA019--J8	- St. Vincent 
NA110--W4	- South Carolina 
NA111--W2	- New Jersey 
NA112--W4	- North Carolina West 
NA113--C6	- South Bahamas 
NA114--FG	- Les Saintes 
NA115--XE4	- Clarion 
NA116--TI8	- Chira/Jasper 
NA117--TI8	- Cano 
NA118--VE7	- Dundas 
NA119--W4	- LA/Dernieres 
NA120--W4	- LA/Marsh 
NA121--KL7	- Walrus 
NA122--HI	- Dom. Republic Coast 
NA123--V3	- Turneffe 
NA124--XE2	- San Jose 
NA125--VE2	- Sept Isles 
NA126--VE1	- NS Prov. South 
NA127--VE1	- NS Prov. West 
NA128--VE2	- Aux Lievres 
NA129--VE8	- Banks 
NA130--VE8	- Resolution 
NA131--VE8	- King William 
NA132--HK0	- Bajo Nuevo 
NA133--HK0	- Serrana Bank 
NA134--OX	- West Coast 
NA135--XE3	- Carmen 
NA136--W1	- Connecticut 
NA137--W1	- Maine West 
NA138--W4	- Florida/Amelia 
NA139--W3	- Maryland East 
NA140--W3	- Maryland West 
NA141--W4	- Florida/Hutchinson 
NA142--W4	- Florida/Alabama 
NA143--W5	- Texas East 
NA144--W6	- North Channel 
NA145--PJ	- Saba/St. Eustati 
NA146--FJ	- St. Barthelemy 
NA147--J3	- Grenadines 
NA148--W1	- Mass Nth/NH 
NA149--HH	- Haitian Coast 
NA150--KL7	- Little Diomede 
NA151--OX	- East Coast 
NA152--KL7	- Sarichef 
NA153--XE3	- Yucatan/Perez 
NA154--VE2	- NS Prov. North 
NA155--TI6	- Uvita 
NA156--VE8	- Nottingham 
NA157--KL7	- Kayak/Wingham 
NA158--KL7	- Cook Inlet 
NA159--VE8	- King George 
NA160--HR3	- Cayos Cochinos 
NA161--KL7	- Pleasant 
NA162--XE2	- San Martin 
NA163--XE2	- Partida/Smith 
NA164--XE2	- Natividad 
NA165--XE2	- San Marcos 
NA166--XE2	- San Pedro Nola 
NA167--XE2	- Patos/Tiburon 
NA168--W5	- LA/Grand Isle 
NA169--W7	- WA/Tatoosh 
NA170--HP	- San Blas 
NA171--XE2	- Altamura 
NA172--KL7	- Plover 
NA173--VE8	- Charlton 
NA174--VE8	- Igloolik 
NA175--VE8	- Couper 
NA176--VE2	- Mingan 
NA177--VE2	- Bonaventure 
NA178--W6	- Farallon 
NA179--XE2	- Guadalupe 
NA180--V3	- South Water 
NA181--VE7	- Estevan 
NA182--VE8	- Nicholson 
NA183--XE3	- Roqueta 
NA184--W6	- California North 
NA185--VE8	- Thomson 
NA186--VE8	- Fox 
NA187--W6	- California Centre 
NA188--XE3	- Cacaluta 
NA189--XE1	- Tres Marietas 
NA190--YS	- Meanguera 
NA191--TI7	- Huevos 
NA192--VE8	- Hendrickson 
NA193--VY1	- Herschel 
NA194--VO2	- Big 
